iter	Passed	Remaining
0	1	138
1	1	96
2	2	80
3	2	69
4	3	64
5	3	61
6	4	60
7	5	60
8	5	58
9	6	57
10	6	55
11	7	54
12	7	53
13	8	52
14	8	50
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	18
67	39	18
68	39	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	56	1
97	56	1
98	57	0
99	58	0
